		 Word Occurence Report
	Words with location of occurence
===================================================
Word:                     Location:
&                         bigtextFile.txt
&                         bigTextFile.txt
00                        bigtextFile.txt
00                        bigTextFile.txt
005                       bigtextFile.txt
005                       bigTextFile.txt
01                        bigtextFile.txt
01                        bigTextFile.txt
02                        bigtextFile.txt
02                        bigTextFile.txt
025                       bigtextFile.txt
025                       bigTextFile.txt
045                       bigtextFile.txt
045                       bigTextFile.txt
05                        bigtextFile.txt
05                        bigTextFile.txt
06                        bigtextFile.txt
06                        bigTextFile.txt
07                        bigtextFile.txt
07                        warandpeace.txt
07                        bigTextFile.txt
09                        bigtextFile.txt
09                        bigTextFile.txt
1                         bigtextFile.txt
1                         warandpeace.txt
1                         bigTextFile.txt
1-12                      bigtextFile.txt
1-12                      bigTextFile.txt
1-14                      bigtextFile.txt
1-14                      bigTextFile.txt
1-17                      bigtextFile.txt
1-17                      bigTextFile.txt
1-2                       bigtextFile.txt
1-2                       bigTextFile.txt
1-24                      bigtextFile.txt
1-24                      bigTextFile.txt
1-29                      bigtextFile.txt
1-29                      bigTextFile.txt
1-55                      bigtextFile.txt
1-55                      bigTextFile.txt
1-87                      bigtextFile.txt
1-87                      bigTextFile.txt
10                        bigtextFile.txt
10                        warandpeace.txt
10                        bigTextFile.txt
10-                       warandpeace.txt
10-15                     bigtextFile.txt
10-15                     bigTextFile.txt
10-18                     bigtextFile.txt
10-18                     bigTextFile.txt
10-34                     bigtextFile.txt
10-34                     bigTextFile.txt
10-grain                  bigtextFile.txt
10-grain                  bigTextFile.txt
100                       bigtextFile.txt
100                       bigTextFile.txt
100-124                   bigtextFile.txt
100-124                   bigTextFile.txt
1000                      bigtextFile.txt
1000                      bigTextFile.txt
10000                     bigtextFile.txt
10000                     warandpeace.txt
10000                     bigTextFile.txt
100000                    bigtextFile.txt
100000                    warandpeace.txt
100000                    bigTextFile.txt
1000000                   bigtextFile.txt
1000000                   bigTextFile.txt
10000000                  bigtextFile.txt
10000000                  bigTextFile.txt
100000000                 bigtextFile.txt
100000000                 bigTextFile.txt
100th                     bigtextFile.txt
100th                     bigTextFile.txt
101                       bigtextFile.txt
101                       bigTextFile.txt
1019106616                bigtextFile.txt
1019106616                bigTextFile.txt
101ff                     bigtextFile.txt
101ff                     bigTextFile.txt
102                       bigtextFile.txt
102                       warandpeace.txt
102                       bigTextFile.txt
102-108                   bigtextFile.txt
102-108                   bigTextFile.txt
102-126                   bigtextFile.txt
102-126                   bigTextFile.txt
103                       bigtextFile.txt
103                       bigTextFile.txt
103-112                   bigtextFile.txt
103-112                   bigTextFile.txt
103-143                   bigtextFile.txt
103-143                   bigTextFile.txt
1030                      bigtextFile.txt
1030                      bigTextFile.txt
104                       bigtextFile.txt
104                       bigTextFile.txt
105                       bigtextFile.txt
105                       bigTextFile.txt
105-172                   bigtextFile.txt
105-172                   bigTextFile.txt
106                       bigtextFile.txt
106                       bigTextFile.txt
107                       bigtextFile.txt
107                       bigTextFile.txt
108                       bigtextFile.txt
108                       bigTextFile.txt
109                       bigtextFile.txt
109                       bigTextFile.txt
109-123                   bigtextFile.txt
109-123                   bigTextFile.txt
109000                    bigtextFile.txt
109000                    bigTextFile.txt
109ff                     bigtextFile.txt
109ff                     bigTextFile.txt
10s                       bigtextFile.txt
10s                       bigTextFile.txt
10th                      bigtextFile.txt
