					 Word Occurence Report
			Words with location & lines of occurence
==============================================================================
Word:                     Location:                 Lines
a                         textFile.txt              1,3,5,13,15,23,25,27,31,33,35,45,53,55,57,61,63,65,67,71,73,81,85,87,89,91,93,99,101,105,109,111,113,115,117,119,121,123,129,135,137,139,141,145,151,157,159,163,165,167,169,171,173,179,181,183,187,189,191,195,197,199,207,209,211,213,215,221,223,225,226,228,232,236,238,240,244,248,254,256,258,262,264,265,273,275,277,281,285,287,289,291,293,295,297,299,301,311,313,319,327,331,333,337,341,343,345,347,349,359,360,362,364,368,370,372,374,376,378,380,382,384,386,388,390,394,396,398,400,404,406,410,412,416,418,420,422,426,432,438,442,444,446,452,454,456,460,462,466,468,470,472,474,476,478,484,490,492,494,496,498,500,502,506,508,510,516,522,526,528,530,532,534,538,540,544,548,550,552,554,556,560,566,568,572,578,580,582,586,588,590,592,594,598,600,602,604,608,612,614,620,622,624,626,628,630,636,638,640,642,644,650,654,656,658,660,662,664,666,668,670,672,674,676,678,682,688,694,696,698,702,704,707,709,713,719,725,729,731,733,735,737,739,741,743,745
aA                        textFile.txt              608
able                      textFile.txt              89
abnormally                textFile.txt              733
aborigines                textFile.txt              75
about                     textFile.txt              1,5,15,21,27,33,59,77,79,95,101,105,111,113,121,123,149,159,191,197,207,230,264,265,289,331,349,353,360,362,380,382,398,410,426,442,454,470,474,498,508,528,534,538,568,580,588,596,598,630,636,642,656,676,678,682,729,731,735,739,741,745
above                     textFile.txt              25,81,111,179,264,345,360,362,424,682,723
abruptly                  textFile.txt              153,179,238,252,265,608
accent                    textFile.txt              331,614
accept                    textFile.txt              745
accepted                  textFile.txt              236
accepting                 textFile.txt              440
accidents                 textFile.txt              737
according                 textFile.txt              678
accuse                    textFile.txt              500
achieved                  textFile.txt              608
acknowledged              textFile.txt              31
acquainted                textFile.txt              620
across                    textFile.txt              3,41,103,109,123,141,201,209,221,275,359,378,504,578,600,644,656,662,743
act                       textFile.txt              81,502
active                    textFile.txt              189
actively                  textFile.txt              55
actually                  textFile.txt              386,394
acute                     textFile.txt              33
acuteness                 textFile.txt              400
ad                        textFile.txt              137
Adam                      textFile.txt              713
add                       textFile.txt              195,590
